"","subject","tBodyAcc-mean()-X"
"1",1,0.263594619017241
"2",2,0.270898272245033
"3",3,0.272741338082353
"4",4,0.279197047025316
"5",5,0.275632311033113
"6",6,0.271136591478528
"7",7,0.27294886324026
"8",8,0.269208783578571
"9",9,0.275342405743056
"10",10,0.276539698054422
"11",11,0.276806257753165
"12",12,0.2770194240625
"13",13,0.276677213963415
"14",14,0.269674978851852
"15",15,0.277505892243902
"16",16,0.27724234120765
"17",17,0.275194017673913
"18",18,0.275999144450549
"19",19,0.27062338205
"20",20,0.267213054581921
"21",21,0.277343602779412
"22",22,0.2726579538925
"23",23,0.273705797793548
"24",24,0.274871424710526
"25",25,0.276464978530732
"26",26,0.271460789091837
"27",27,0.278028956170213
"28",28,0.276425796753927
"29",29,0.281307044924419
"30",30,0.275184313115183
